event_id,shipment_id,event_timestamp,event_type,severity,delay_minutes,location,description
EVT-000001,SHP-0001,2026-08-20 15:00:00.000000,DEPARTURE,INFO,0,PAR-01,Shipment departed origin distribution centre.
EVT-000002,SHP-0001,2026-08-20 22:27:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000003,SHP-0001,2026-08-21 05:54:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000004,SHP-0002,2026-08-03 13:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000005,SHP-0002,2026-08-03 15:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000006,SHP-0002,2026-08-03 17:48:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000007,SHP-0003,2026-08-16 19:00:00.000000,DEPARTURE,INFO,0,BRU-01,Shipment departed origin distribution centre.
EVT-000008,SHP-0003,2026-08-16 20:54:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000009,SHP-0003,2026-08-16 22:48:00.000000,ARRIVAL,INFO,0,PAR-01,Shipment arrived at destination distribution centre.
EVT-000010,SHP-0004,2026-08-22 12:00:00.000000,DEPARTURE,INFO,0,MIL-01,Shipment departed origin distribution centre.
EVT-000011,SHP-0004,2026-08-22 20:00:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000012,SHP-0004,2026-08-23 04:00:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000013,SHP-0005,2026-08-26 04:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000014,SHP-0005,2026-08-26 07:33:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000015,SHP-0005,2026-08-26 09:18:00.950910,VEHICLE_BREAKDOWN,MEDIUM,289,R-007,Vehicle breakdown reported during transit.
EVT-000016,SHP-0005,2026-08-26 09:33:00.950910,ETA_UPDATE,MEDIUM,289,R-007,Estimated arrival time updated following operational disruption.
EVT-000017,SHP-0005,2026-08-26 14:07:00.950910,DISRUPTION_RESOLVED,INFO,289,R-007,Historical operational disruption resolved.
EVT-000018,SHP-0005,2026-08-26 15:55:00.000000,ARRIVAL,INFO,289,PAR-01,Shipment arrived at destination distribution centre after historical disruption.
EVT-000019,SHP-0006,2026-08-06 11:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000020,SHP-0006,2026-08-06 13:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000021,SHP-0006,2026-08-06 14:05:05.847464,WEATHER_DISRUPTION,HIGH,380,R-006,Severe weather conditions affecting transport operations.
EVT-000022,SHP-0006,2026-08-06 14:20:05.847464,ETA_UPDATE,HIGH,380,R-006,Estimated arrival time updated following operational disruption.
EVT-000023,SHP-0006,2026-08-06 20:25:05.847464,DISRUPTION_RESOLVED,INFO,380,R-006,Historical operational disruption resolved.
EVT-000024,SHP-0006,2026-08-06 22:08:00.000000,ARRIVAL,INFO,380,BRU-01,Shipment arrived at destination distribution centre after historical disruption.
EVT-000025,SHP-0007,2026-08-13 01:00:00.000000,DEPARTURE,INFO,0,MIL-01,Shipment departed origin distribution centre.
EVT-000026,SHP-0007,2026-08-13 04:42:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000027,SHP-0007,2026-08-13 08:24:00.000000,ARRIVAL,INFO,0,FRA-01,Shipment arrived at destination distribution centre.
EVT-000028,SHP-0008,2026-08-14 12:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000029,SHP-0008,2026-08-14 14:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000030,SHP-0008,2026-08-14 16:48:00.000000,ARRIVAL,INFO,0,BRU-01,Shipment arrived at destination distribution centre.
EVT-000031,SHP-0009,2026-08-27 15:00:00.000000,DEPARTURE,INFO,0,PAR-01,Shipment departed origin distribution centre.
EVT-000032,SHP-0009,2026-08-27 16:54:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000033,SHP-0009,2026-08-27 18:48:00.000000,ARRIVAL,INFO,0,MIL-01,Shipment arrived at destination distribution centre.
EVT-000034,SHP-0010,2026-08-09 07:00:00.000000,DEPARTURE,INFO,0,MAD-01,Shipment departed origin distribution centre.
EVT-000035,SHP-0010,2026-08-09 15:00:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000036,SHP-0010,2026-08-09 23:00:00.000000,ARRIVAL,INFO,0,MIL-01,Shipment arrived at destination distribution centre.
EVT-000037,SHP-0011,2026-08-22 00:00:00.000000,DEPARTURE,INFO,0,PAR-01,Shipment departed origin distribution centre.
EVT-000038,SHP-0011,2026-08-22 07:27:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000039,SHP-0011,2026-08-22 14:54:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000040,SHP-0012,2026-08-14 08:00:00.000000,DEPARTURE,INFO,0,PAR-01,Shipment departed origin distribution centre.
EVT-000041,SHP-0012,2026-08-14 15:27:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000042,SHP-0012,2026-08-14 22:54:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000043,SHP-0013,2026-08-23 19:00:00.000000,DEPARTURE,INFO,0,MIL-01,Shipment departed origin distribution centre.
EVT-000044,SHP-0013,2026-08-24 03:00:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000045,SHP-0013,2026-08-24 06:49:56.463457,CUSTOMS_DELAY,MEDIUM,242,R-010,Shipment held temporarily for customs processing.
EVT-000046,SHP-0013,2026-08-24 07:04:56.463457,ETA_UPDATE,MEDIUM,242,R-010,Estimated arrival time updated following operational disruption.
EVT-000047,SHP-0013,2026-08-24 10:51:56.463457,DISRUPTION_RESOLVED,INFO,242,R-010,Historical operational disruption resolved.
EVT-000048,SHP-0013,2026-08-24 15:02:00.000000,ARRIVAL,INFO,242,MAD-01,Shipment arrived at destination distribution centre after historical disruption.
EVT-000049,SHP-0014,2026-08-15 22:00:00.000000,DEPARTURE,INFO,0,BRU-01,Shipment departed origin distribution centre.
EVT-000050,SHP-0014,2026-08-16 00:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000051,SHP-0014,2026-08-16 02:48:00.000000,ARRIVAL,INFO,0,FRA-01,Shipment arrived at destination distribution centre.
EVT-000052,SHP-0015,2026-08-23 07:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000053,SHP-0015,2026-08-23 10:33:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000054,SHP-0015,2026-08-23 14:06:00.000000,ARRIVAL,INFO,0,PAR-01,Shipment arrived at destination distribution centre.
EVT-000055,SHP-0016,2026-08-11 23:00:00.000000,DEPARTURE,INFO,0,MAD-01,Shipment departed origin distribution centre.
EVT-000056,SHP-0016,2026-08-12 07:00:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000057,SHP-0016,2026-08-12 15:00:00.000000,ARRIVAL,INFO,0,FRA-01,Shipment arrived at destination distribution centre.
EVT-000058,SHP-0017,2026-08-28 03:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000059,SHP-0017,2026-08-28 05:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000060,SHP-0017,2026-08-28 07:48:00.000000,ARRIVAL,INFO,0,BRU-01,Shipment arrived at destination distribution centre.
EVT-000061,SHP-0018,2026-08-24 20:00:00.000000,DEPARTURE,INFO,0,PAR-01,Shipment departed origin distribution centre.
EVT-000062,SHP-0018,2026-08-24 23:33:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000063,SHP-0018,2026-08-25 03:06:00.000000,ARRIVAL,INFO,0,FRA-01,Shipment arrived at destination distribution centre.
EVT-000064,SHP-0019,2026-08-21 14:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000065,SHP-0019,2026-08-21 17:33:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000066,SHP-0019,2026-08-21 21:06:00.000000,ARRIVAL,INFO,0,PAR-01,Shipment arrived at destination distribution centre.
EVT-000067,SHP-0020,2026-08-17 22:00:00.000000,DEPARTURE,INFO,0,BRU-01,Shipment departed origin distribution centre.
EVT-000068,SHP-0020,2026-08-17 23:54:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000069,SHP-0020,2026-08-18 00:44:20.027420,TRAFFIC_DELAY,MEDIUM,239,R-004,Traffic congestion reported along shipment route.
EVT-000070,SHP-0020,2026-08-18 00:59:20.027420,ETA_UPDATE,MEDIUM,239,R-004,Estimated arrival time updated following operational disruption.
EVT-000071,SHP-0020,2026-08-18 04:43:20.027420,DISRUPTION_RESOLVED,INFO,239,R-004,Historical operational disruption resolved.
EVT-000072,SHP-0020,2026-08-18 05:47:00.000000,ARRIVAL,INFO,239,PAR-01,Shipment arrived at destination distribution centre after historical disruption.
EVT-000073,SHP-0021,2026-08-05 19:00:00.000000,DEPARTURE,INFO,0,MAD-01,Shipment departed origin distribution centre.
EVT-000074,SHP-0021,2026-08-05 21:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000075,SHP-0021,2026-08-05 23:48:00.000000,ARRIVAL,INFO,0,BRU-01,Shipment arrived at destination distribution centre.
EVT-000076,SHP-0022,2026-08-03 22:00:00.000000,DEPARTURE,INFO,0,MIL-01,Shipment departed origin distribution centre.
EVT-000077,SHP-0022,2026-08-04 01:42:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000078,SHP-0022,2026-08-04 05:24:00.000000,ARRIVAL,INFO,0,FRA-01,Shipment arrived at destination distribution centre.
EVT-000079,SHP-0023,2026-08-14 01:00:00.000000,DEPARTURE,INFO,0,MIL-01,Shipment departed origin distribution centre.
EVT-000080,SHP-0023,2026-08-14 09:00:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000081,SHP-0023,2026-08-14 17:00:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000082,SHP-0024,2026-08-27 22:00:00.000000,DEPARTURE,INFO,0,MAD-01,Shipment departed origin distribution centre.
EVT-000083,SHP-0024,2026-08-28 05:27:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000084,SHP-0024,2026-08-28 12:54:00.000000,ARRIVAL,INFO,0,BRU-01,Shipment arrived at destination distribution centre.
EVT-000085,SHP-0025,2026-08-20 02:00:00.000000,DEPARTURE,INFO,0,BRU-01,Shipment departed origin distribution centre.
EVT-000086,SHP-0025,2026-08-20 03:54:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000087,SHP-0025,2026-08-20 05:48:00.000000,ARRIVAL,INFO,0,MIL-01,Shipment arrived at destination distribution centre.
EVT-000088,SHP-0026,2026-08-25 03:00:00.000000,DEPARTURE,INFO,0,MAD-01,Shipment departed origin distribution centre.
EVT-000089,SHP-0026,2026-08-25 10:27:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000090,SHP-0026,2026-08-25 12:02:24.854370,TRAFFIC_DELAY,MEDIUM,257,R-012,Traffic congestion reported along shipment route.
EVT-000091,SHP-0026,2026-08-25 12:17:24.854370,ETA_UPDATE,MEDIUM,257,R-012,Estimated arrival time updated following operational disruption.
EVT-000092,SHP-0026,2026-08-25 16:19:24.854370,DISRUPTION_RESOLVED,INFO,257,R-012,Historical operational disruption resolved.
EVT-000093,SHP-0026,2026-08-25 22:11:00.000000,ARRIVAL,INFO,257,PAR-01,Shipment arrived at destination distribution centre after historical disruption.
EVT-000094,SHP-0027,2026-08-24 09:00:00.000000,DEPARTURE,INFO,0,MIL-01,Shipment departed origin distribution centre.
EVT-000095,SHP-0027,2026-08-24 17:00:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000096,SHP-0027,2026-08-25 01:00:00.000000,ARRIVAL,INFO,0,MAD-01,Shipment arrived at destination distribution centre.
EVT-000097,SHP-0028,2026-08-09 07:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000098,SHP-0028,2026-08-09 10:42:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000099,SHP-0028,2026-08-09 14:24:00.000000,ARRIVAL,INFO,0,MIL-01,Shipment arrived at destination distribution centre.
EVT-000100,SHP-0029,2026-08-16 04:00:00.000000,DEPARTURE,INFO,0,FRA-01,Shipment departed origin distribution centre.
EVT-000101,SHP-0029,2026-08-16 06:24:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000102,SHP-0029,2026-08-16 08:48:00.000000,ARRIVAL,INFO,0,BRU-01,Shipment arrived at destination distribution centre.
EVT-000103,SHP-0030,2026-08-08 08:00:00.000000,DEPARTURE,INFO,0,PAR-01,Shipment departed origin distribution centre.
EVT-000104,SHP-0030,2026-08-08 09:54:00.000000,IN_TRANSIT,INFO,0,EN_ROUTE,Shipment confirmed in transit.
EVT-000105,SHP-0030,2026-08-08 11:48:00.000000,ARRIVAL,INFO,0,BRU-01,Shipment arrived at destination distribution centre.
